transaction_id,date,amount,category,description,transaction_type,merchant,account_type
TXN001,2024-01-01,125.50,Groceries,Whole Foods Market purchase,expense,Whole Foods Market,checking
TXN002,2024-01-01,45.00,Transportation,Uber ride to airport,expense,Uber,checking
TXN003,2024-01-01,2500.00,Income,Salary deposit,income,Employer Inc,checking
TXN004,2024-01-02,89.99,Entertainment,Netflix annual subscription,expense,Netflix,credit_card
TXN005,2024-01-02,15.50,Food & Dining,Starbucks coffee and breakfast,expense,Starbucks,credit_card
TXN006,2024-01-02,75.00,Healthcare,Pharmacy prescription,expense,CVS Pharmacy,checking
TXN007,2024-01-03,200.00,Utilities,Electricity bill payment,expense,Power Company,checking
TXN008,2024-01-03,45.00,Transportation,Gas station fill-up,expense,Shell Gas Station,credit_card
TXN009,2024-01-03,120.00,Shopping,Amazon online purchase,expense,Amazon,credit_card
TXN010,2024-01-04,65.00,Food & Dining,Restaurant dinner,expense,Olive Garden,credit_card
TXN011,2024-01-04,25.00,Entertainment,Movie tickets,expense,AMC Theaters,credit_card
TXN012,2024-01-04,150.00,Shopping,Clothing store purchase,expense,Nike Store,credit_card
TXN013,2024-01-05,85.00,Groceries,Supermarket shopping,expense,Safeway,checking
TXN014,2024-01-05,30.00,Transportation,Public transit pass,expense,Metro Transit,checking
TXN015,2024-01-05,500.00,Savings,Transfer to savings account,transfer,Internal Transfer,savings
TXN016,2024-01-06,95.00,Healthcare,Doctor appointment copay,expense,Medical Center,checking
TXN017,2024-01-06,40.00,Food & Dining,Takeout dinner,expense,Dominos Pizza,credit_card
TXN018,2024-01-06,180.00,Shopping,Electronics purchase,expense,Best Buy,credit_card
TXN019,2024-01-07,55.00,Entertainment,Gym membership,expense,Planet Fitness,checking
TXN020,2024-01-07,35.00,Food & Dining,Coffee and snacks,expense,Dunkin Donuts,credit_card
TXN021,2024-01-08,1200.00,Rent,Housing rent payment,expense,Property Management,checking
TXN022,2024-01-08,85.00,Groceries,Weekly grocery shopping,expense,Trader Joes,checking
TXN023,2024-01-08,60.00,Transportation,Car maintenance,expense,Jiffy Lube,credit_card
TXN024,2024-01-09,45.00,Food & Dining,Lunch with colleagues,expense,Chipotle,credit_card
TXN025,2024-01-09,200.00,Shopping,Home improvement store,expense,Home Depot,credit_card
TXN026,2024-01-09,75.00,Entertainment,Concert tickets,expense,Ticketmaster,credit_card
TXN027,2024-01-10,95.00,Healthcare,Dental cleaning,expense,Dental Office,checking
TXN028,2024-01-10,40.00,Food & Dining,Food delivery,expense,DoorDash,credit_card
TXN029,2024-01-10,150.00,Shopping,Online clothing purchase,expense,Zara,credit_card
TXN030,2024-01-11,65.00,Groceries,Organic food store,expense,Sprouts Farmers Market,checking
